temperatura_c,umidade_percent,pressao_hpa,distancia_cm,risco_tempestade
62.43,76.13,1005.58,399.90,0
22.20,87.70,1009.24,399.93,0
71.88,78.53,1005.49,399.92,0
69.05,87.13,992.33,400.06,0
75.03,82.39,993.53,400.02,1
73.21,64.06,1002.88,399.97,0
27.13,84.76,1000.18,400.03,0
44.06,60.93,1006.22,399.99,0
37.48,71.72,1008.09,399.96,0
29.89,84.85,1010.44,400.07,0
38.86,61.14,997.57,399.94,0
27.67,80.33,1019.25,400.08,0
50.38,64.77,1007.94,400.10,0
29.16,73.57,996.18,400.08,0
31.09,76.11,998.15,399.98,0
22.97,83.42,1006.16,400.06,0
48.98,67.72,1006.38,399.95,0
45.21,65.38,995.80,399.95,0
59.53,68.48,993.23,399.99,0
46.21,77.33,992.10,400.08,0
38.55,65.95,997.01,399.94,0
49.79,86.56,1014.80,399.94,0
50.56,60.36,1014.65,399.99,0
49.91,80.68,997.05,399.92,0
37.85,89.94,1017.24,400.00,0
55.51,60.68,989.29,400.04,0
58.44,69.52,1018.98,400.01,0
22.74,77.98,1000.19,399.99,0
35.42,63.64,992.48,400.06,0
33.87,83.32,990.42,400.06,0
46.27,63.58,1013.74,400.09,0
70.58,64.58,1007.12,400.06,0
41.42,61.65,990.39,399.92,0
23.34,69.02,1000.88,400.03,0
50.75,65.90,980.10,399.95,0
58.92,66.69,1013.51,399.98,0
44.60,72.09,980.15,400.00,0
59.74,81.22,1015.38,400.10,0
51.99,79.95,1015.82,400.09,0
29.81,67.20,989.53,399.95,0
39.34,64.94,1003.60,400.04,0
27.19,81.46,980.01,400.01,0
23.22,87.57,998.83,400.10,0
24.88,81.60,1010.34,399.92,0
28.14,70.87,988.73,400.04,0
31.71,72.31,1000.94,400.07,0
23.44,69.55,1004.82,400.02,0
38.66,68.22,989.57,399.98,0
75.81,61.71,1001.46,400.04,0
79.61,80.56,991.27,400.06,1
58.73,72.21,989.95,399.90,0
39.93,86.17,997.38,400.06,0
55.05,89.80,986.93,400.10,0
63.38,70.37,990.46,399.92,0
26.37,81.85,995.23,399.99,0
20.23,69.13,996.58,400.07,0
50.48,71.87,982.19,400.06,0
70.84,84.02,996.10,400.08,1
39.24,76.08,995.77,399.95,0
28.25,85.96,996.88,400.03,0
56.38,61.54,1015.21,399.94,0
59.96,83.75,990.67,399.98,0
66.95,81.19,1009.99,399.95,0
54.37,74.67,988.95,399.99,0
61.21,73.73,993.72,400.01,0
42.93,85.51,987.34,400.06,0
21.83,66.16,993.01,400.05,0
26.96,84.08,987.33,399.94,0
71.15,81.03,1018.98,399.95,0
29.11,86.39,1016.88,400.00,0
53.24,86.92,989.56,400.04,0
58.93,69.24,1009.28,399.94,0
75.45,73.93,1016.07,400.02,0
24.22,67.02,999.41,400.08,0
26.44,72.62,1003.42,400.06,0
46.04,61.99,1003.11,400.02,0
49.22,64.32,1011.83,399.99,0
66.03,66.36,1005.90,400.09,0
39.43,88.92,1006.89,400.05,0
66.28,61.07,990.98,399.98,0
40.05,86.06,1001.01,400.05,0
77.34,62.59,997.48,400.02,0
64.91,74.04,982.86,400.04,0
63.02,60.22,1008.40,400.01,0
36.04,60.81,998.09,399.98,0
51.31,83.93,982.81,400.08,0
79.53,71.33,992.26,400.06,1
47.75,62.81,993.43,399.95,0
73.86,68.58,1019.04,400.04,0
28.23,80.85,1005.17,399.97,0
30.68,77.33,1011.63,399.95,0
69.22,72.67,1013.46,399.99,0
68.57,76.58,1005.11,400.01,0
27.14,86.99,1012.99,399.93,0
50.68,62.27,999.36,400.08,0
49.75,75.17,1005.44,400.02,0
76.81,63.93,999.12,399.92,0
51.28,80.39,1011.98,400.05,0
62.27,65.70,1008.34,399.95,0
53.15,80.35,998.35,400.03,0
77.68,72.97,982.47,400.05,1
47.10,76.45,1015.69,400.04,0
24.95,83.35,995.34,400.08,0
40.42,73.72,1015.99,400.07,0
52.33,88.52,1017.23,399.96,0
76.29,88.75,993.62,400.02,1
69.73,69.18,995.56,400.04,0
68.34,64.57,986.62,400.06,0
60.35,84.56,983.59,400.10,0
21.47,61.27,981.01,400.02,0
53.52,80.79,994.89,400.09,0
33.13,61.04,994.10,400.04,0
70.77,61.90,1016.48,400.08,0
28.96,65.36,1005.16,399.96,0
50.37,60.76,991.52,400.08,0
29.87,68.60,986.49,399.95,0
77.56,81.88,1019.72,399.97,0
53.11,77.39,984.17,399.94,0
69.90,79.90,995.95,399.98,0
24.92,83.12,988.86,400.07,0
36.95,79.56,1005.72,399.99,0
23.94,75.66,988.28,400.10,0
49.99,84.17,993.32,400.05,0
40.67,77.88,1014.98,400.08,0
51.94,64.98,995.45,399.94,0
40.96,78.75,995.60,399.92,0
25.88,77.50,984.25,400.00,0
37.66,61.59,997.09,399.90,0
79.92,89.88,989.38,399.90,1
39.92,70.23,1010.37,399.96,0
44.63,85.28,992.66,399.99,0
23.86,65.11,1000.26,400.02,0
54.18,76.47,1017.41,399.98,0
59.46,88.76,992.61,400.07,0
22.55,83.22,987.85,400.06,0
30.33,86.10,1005.47,400.05,0
59.51,85.88,1011.76,400.07,0
48.98,88.93,989.38,400.07,0
40.04,85.17,993.53,400.03,0
35.94,62.49,1001.11,399.98,0
59.59,81.59,1010.76,400.09,0
21.60,79.25,1014.07,400.08,0
62.38,84.32,982.68,400.09,0
77.78,69.50,1013.92,399.95,0
41.76,84.70,1019.32,400.08,0
53.83,71.83,980.93,400.02,0
58.49,85.64,1003.99,399.95,0
63.15,69.47,1008.49,400.09,0
75.28,66.47,995.96,399.92,0
54.21,70.81,1008.87,400.04,0
25.06,68.90,994.49,400.07,0
23.04,79.61,995.22,399.98,0
62.53,64.13,984.91,400.01,0
24.17,75.08,1019.39,400.01,0
73.67,76.74,1000.20,400.09,1
34.93,75.15,1019.67,399.96,0
67.45,77.96,1019.73,399.94,0
21.84,89.11,994.76,400.08,0
65.62,80.94,1006.38,400.10,0
55.81,67.22,994.50,400.04,0
66.08,76.48,1000.56,400.00,0
59.57,67.68,1013.02,399.99,0
70.84,84.41,1005.32,399.91,0
53.24,80.91,983.40,400.08,0
22.71,68.01,993.41,399.99,0
45.48,61.78,998.67,400.03,0
48.15,71.93,982.77,400.04,0
57.38,77.57,1008.80,399.99,0
70.16,80.25,1002.98,400.05,1
49.39,85.89,986.86,399.93,0
46.54,88.55,1003.28,400.02,0
49.48,87.81,1019.17,399.95,0
44.85,84.00,1016.21,399.98,0
65.86,77.60,981.54,399.97,0
23.17,64.28,1012.20,399.93,0
25.49,74.90,1003.83,399.92,0
34.98,67.14,1006.49,400.09,0
76.09,73.06,987.03,400.00,1
51.26,80.32,1010.70,399.92,0
47.87,79.94,991.07,400.05,0
22.21,68.46,980.53,399.98,0
77.88,88.94,1006.42,399.95,0
71.03,86.25,980.21,399.91,1
28.25,69.02,1016.74,400.04,0
35.67,63.87,984.89,400.07,0
23.30,76.31,1008.65,399.98,0
52.04,63.60,981.90,399.91,0
67.95,60.47,999.27,399.93,0
70.81,70.77,1013.44,400.08,0
60.35,75.57,1019.38,400.07,0
64.65,63.30,982.03,399.92,0
24.06,89.71,989.72,400.06,0
31.66,61.67,994.72,399.94,0
56.30,66.88,989.92,400.07,0
34.73,75.90,985.07,399.92,0
72.27,73.46,994.10,399.91,1
75.38,64.05,1007.69,399.93,0
39.76,77.09,988.58,400.02,0
39.31,85.60,989.24,400.07,0
43.86,74.28,1005.56,399.95,0
76.83,89.55,980.84,399.91,1
26.64,77.84,1009.91,399.91,0
70.70,83.78,1009.31,399.96,0
31.86,80.80,1000.87,399.93,0
62.07,68.82,993.86,399.91,0
29.24,85.78,999.65,399.96,0
38.48,89.42,994.44,400.03,0
53.51,65.76,1001.73,400.04,0
67.05,63.81,990.18,400.05,0
40.45,82.70,1018.34,399.99,0
36.49,75.27,986.13,400.09,0
68.21,89.11,1018.77,400.10,0
47.94,87.10,1012.16,400.03,0
62.84,85.53,1008.29,399.96,0
69.02,73.19,984.01,400.02,0
20.29,63.08,982.53,399.99,0
35.92,79.65,1009.85,400.08,0
64.69,61.19,985.44,400.09,0
42.04,83.73,1001.84,400.09,0
79.95,67.82,1016.85,399.91,0
39.64,60.01,991.27,399.92,0
79.34,77.77,991.63,400.03,1
38.04,83.20,1007.25,400.05,0
64.79,68.56,991.39,400.05,0
57.07,85.77,1007.71,400.04,0
33.55,85.94,996.37,400.03,0
75.01,74.66,992.31,400.06,1
68.20,86.14,993.35,400.02,0
67.99,70.80,987.65,400.08,0
36.69,70.74,991.54,399.91,0
51.82,82.75,1012.78,400.08,0
34.84,86.50,989.83,399.95,0
48.62,76.92,1013.42,399.92,0
21.00,80.22,986.42,399.97,0
27.64,84.53,1003.87,399.94,0
29.06,82.31,1011.98,399.98,0
37.68,86.44,980.57,400.04,0
22.50,81.70,1016.41,400.02,0
52.06,79.04,1000.21,400.06,0
72.63,82.48,1018.74,400.02,0
73.74,65.92,1000.11,400.04,0
52.54,78.42,1012.27,400.01,0
77.54,64.88,996.81,400.00,0
62.09,63.73,981.13,399.95,0
57.88,71.62,981.19,400.04,0
58.93,68.19,1004.71,400.07,0
33.68,63.98,990.67,400.08,0
64.39,73.29,989.39,399.96,0
34.16,82.82,989.22,399.95,0
26.05,89.09,989.37,399.98,0
77.49,87.60,989.37,399.95,1
50.82,83.83,1000.09,399.97,0
34.13,79.42,1002.92,400.04,0
78.52,64.92,1017.43,399.97,0
76.85,70.68,983.06,400.00,1
74.77,81.36,987.89,399.99,1
34.42,66.91,1007.63,399.94,0
50.55,89.07,993.54,400.09,0
56.66,72.46,985.18,399.98,0
64.81,85.74,1016.55,399.91,0
43.41,74.73,1008.35,399.97,0
59.75,74.98,982.64,400.01,0
59.60,86.36,1010.19,400.09,0
78.63,84.86,1007.81,399.95,0
70.60,82.87,1005.43,399.93,0
75.33,84.22,994.74,400.07,1
61.73,85.05,998.30,399.90,0
24.92,89.31,1003.40,400.02,0
24.72,61.78,1010.50,400.05,0
75.75,61.51,992.20,400.05,0
43.56,85.70,1000.18,400.02,0
60.99,81.60,1001.38,400.02,0
78.58,64.12,1007.52,399.96,0
30.89,60.25,1019.38,400.02,0
21.33,62.47,984.08,399.92,0
33.07,81.66,1016.96,399.95,0
67.83,63.92,989.43,400.06,0
49.84,78.06,988.93,399.91,0
48.77,76.04,996.34,399.90,0
29.65,60.62,988.14,399.95,0
78.86,75.00,985.52,400.07,1
25.82,63.60,1002.47,399.91,0
71.85,78.32,1011.16,399.98,0
48.79,85.91,1017.81,400.05,0
35.57,89.36,1015.73,399.97,0
49.88,85.31,986.96,400.00,0
49.44,88.72,999.73,400.00,0
22.17,70.91,995.18,400.10,0
43.71,81.94,995.03,400.09,0
41.97,66.46,991.66,399.92,0
38.28,83.01,991.80,399.96,0
25.18,70.36,989.52,400.09,0
56.88,70.44,987.36,400.09,0
23.16,77.05,1011.23,399.91,0
64.91,69.90,998.77,399.95,0
50.53,79.51,1019.59,400.00,0
78.63,79.08,983.57,399.95,1
63.95,73.59,992.24,399.95,0
78.66,64.17,1003.17,399.96,0
75.78,66.82,982.08,400.03,0
37.29,80.89,1014.13,399.90,0
64.74,82.04,1012.00,399.92,0
40.87,75.62,1003.01,399.98,0
70.29,76.47,1005.20,400.02,0
47.57,87.25,984.87,400.01,0
58.75,67.19,1012.45,399.90,0
44.00,78.95,984.93,400.01,0
54.02,64.29,980.67,399.95,0
62.25,68.36,996.58,400.07,0
40.32,62.37,988.71,399.96,0
30.38,68.55,1019.58,399.99,0
27.90,75.37,1006.93,400.04,0
28.42,71.32,987.36,399.92,0
53.37,73.84,983.51,400.04,0
48.59,70.48,1014.52,399.94,0
61.30,83.04,991.92,399.95,0
41.55,87.34,995.70,399.96,0
25.31,82.98,997.96,399.96,0
21.64,76.14,993.69,399.96,0
32.10,87.70,983.71,400.09,0
62.40,86.54,1005.90,400.07,0
37.77,69.11,995.89,399.96,0
28.87,79.25,1001.09,399.99,0
76.24,61.49,981.13,399.94,0
41.02,88.73,1008.23,399.95,0
45.36,81.46,983.00,399.95,0
62.40,83.54,1013.96,400.00,0
30.37,63.39,987.45,400.07,0
45.45,62.29,1012.84,399.96,0
51.58,60.63,1019.58,399.93,0
77.92,63.94,980.33,399.91,0
62.95,76.11,986.98,399.94,0
36.80,84.12,1014.45,399.98,0
52.63,74.64,1000.46,399.90,0
48.84,73.65,1001.83,399.91,0
33.52,74.79,1014.91,399.91,0
20.19,85.64,1000.95,399.93,0
37.05,68.92,995.28,399.92,0
48.79,61.21,1002.74,400.01,0
57.99,61.31,1004.83,399.94,0
44.31,60.25,1002.86,399.95,0
67.32,83.73,1005.76,399.91,0
69.15,81.69,993.97,400.04,0
73.90,89.79,1015.20,399.96,0
41.62,79.50,1005.19,399.94,0
39.88,65.36,987.78,400.08,0
37.19,81.34,997.14,400.00,0
51.27,79.81,1007.80,399.95,0
75.13,73.99,1010.48,400.10,0
63.87,66.73,1017.35,400.01,0
55.38,80.39,998.93,400.08,0
72.06,84.75,998.05,400.04,1
27.00,81.53,1015.31,400.00,0
62.32,78.52,1013.29,400.09,0
20.85,60.35,985.33,400.02,0
41.56,85.42,1006.97,399.98,0
23.37,77.68,1018.02,399.90,0
43.73,80.17,1001.66,399.95,0
21.39,60.89,1006.37,399.92,0
56.12,88.43,987.54,399.94,0
33.43,62.04,998.28,399.97,0
48.60,86.73,1009.77,400.01,0
38.28,79.09,983.41,400.09,0
47.27,69.76,1004.65,400.03,0
60.33,82.38,1003.18,399.93,0
54.88,81.06,1016.65,399.94,0
44.72,61.35,992.12,400.01,0
42.85,61.90,1007.65,400.05,0
43.76,87.73,1016.91,399.91,0
72.57,61.48,987.97,399.96,0
58.25,85.31,1011.60,399.97,0
24.68,61.63,1007.33,400.04,0
63.52,89.19,1013.75,399.93,0
32.12,73.79,1008.93,400.08,0
56.46,85.27,1010.30,400.04,0
60.59,84.43,1011.21,399.98,0
79.83,78.28,993.55,399.93,1
75.29,75.28,981.68,400.07,1
76.70,67.94,992.62,399.92,0
76.12,64.50,990.17,400.01,0
77.40,66.49,989.23,399.93,0
43.26,83.75,985.28,400.03,0
43.01,80.41,998.08,400.01,0
71.61,74.85,1010.35,399.98,0
28.81,62.02,1014.90,400.07,0
51.96,80.57,1003.98,400.07,0
60.67,65.10,997.89,399.92,0
43.27,65.29,992.40,399.95,0
67.81,74.33,989.58,400.05,0
45.79,68.84,991.65,400.08,0
38.94,85.93,992.00,399.98,0
45.25,80.69,1005.64,400.08,0
43.44,60.66,1018.58,400.06,0
37.65,64.83,1001.71,400.01,0
44.16,64.60,998.58,400.03,0
55.36,68.39,1016.96,399.98,0
45.48,85.36,1008.89,399.98,0
25.12,69.78,1012.63,400.01,0
71.15,78.47,984.33,400.08,1
24.42,70.14,989.85,400.03,0
25.61,63.68,981.04,400.05,0
67.92,67.88,1018.39,400.00,0
66.33,75.42,998.18,399.99,0
22.60,70.55,986.94,399.97,0
53.85,70.76,1015.28,400.01,0
44.66,81.18,992.85,399.92,0
59.69,64.18,1011.75,400.05,0
26.13,64.69,1004.17,399.93,0
44.49,72.68,1013.07,400.09,0
64.26,67.30,991.96,400.00,0
39.62,84.16,997.71,400.06,0
79.18,77.32,981.30,400.02,1
77.92,69.05,1012.74,399.96,0
76.09,83.92,1014.89,399.98,0
32.16,79.28,999.33,400.04,0
73.28,62.59,1007.50,400.07,0
54.17,68.83,1007.62,399.94,0
45.50,68.86,998.38,400.02,0
50.54,86.11,1006.42,400.08,0
74.70,77.07,1017.23,399.94,0
58.63,71.62,991.19,400.02,0
66.71,72.21,1007.06,400.04,0
68.19,67.15,1003.10,400.09,0
72.01,61.42,997.45,399.90,0
28.83,78.54,1019.64,400.09,0
61.70,70.74,988.42,399.93,0
76.05,80.18,1002.54,399.96,1
21.24,60.89,1011.87,400.03,0
29.39,82.38,1018.84,399.96,0
46.24,70.44,988.21,399.92,0
26.79,61.16,991.24,399.96,0
22.85,88.79,1008.75,399.97,0
59.46,82.31,1012.26,400.05,0
79.42,89.57,997.87,399.99,1
49.29,75.53,996.46,399.93,0
74.72,60.93,1007.86,400.08,0
37.14,86.74,987.72,400.00,0
35.12,88.52,987.81,400.04,0
75.40,61.29,1010.02,399.91,0
22.23,61.56,1000.46,399.94,0
34.28,79.91,996.86,399.90,0
64.21,89.56,982.08,400.04,0
79.76,88.59,994.22,399.93,1
51.09,80.33,1008.94,399.98,0
74.99,67.94,994.87,399.90,0
68.04,77.40,998.32,399.93,0
69.60,82.76,981.27,400.07,0
73.82,80.38,1000.55,400.05,1
70.76,60.17,981.32,400.07,0
47.00,74.45,987.37,399.92,0
54.93,78.98,990.42,400.04,0
62.42,74.23,1012.11,399.98,0
33.88,83.50,989.51,400.03,0
65.71,88.79,1007.17,399.92,0
24.41,85.01,1014.48,400.10,0
37.65,61.83,989.49,400.08,0
36.60,73.04,1019.99,400.06,0
35.24,87.65,1007.19,399.97,0
25.20,81.96,987.46,399.92,0
43.92,65.15,1018.89,400.09,0
62.72,64.63,1014.81,400.09,0
39.50,69.15,989.74,400.00,0
20.54,88.62,1015.00,400.07,0
23.92,69.32,989.58,400.01,0
73.58,76.21,984.35,399.91,1
44.80,76.28,989.77,400.03,0
53.11,60.81,993.02,400.09,0
41.73,61.99,988.93,399.93,0
44.86,70.35,995.09,400.00,0
64.97,79.22,1009.17,400.06,0
72.37,77.96,992.15,400.07,1
48.30,86.63,984.65,400.10,0
25.11,86.70,996.45,399.90,0
74.63,89.28,985.91,400.10,1
63.49,77.86,982.92,400.07,0
20.24,60.06,991.96,400.10,0
57.48,74.75,997.85,399.99,0
40.55,80.17,1009.67,399.92,0
66.50,65.99,1012.64,399.91,0
23.02,76.01,1015.58,400.04,0
72.84,74.57,989.37,400.06,1
59.37,75.13,1003.85,400.04,0
73.95,67.70,1010.23,400.02,0
45.41,85.21,1004.61,399.95,0
68.64,72.46,986.35,400.10,0
48.31,81.81,1004.91,399.93,0
48.45,64.49,1001.28,399.92,0
59.37,71.59,990.99,399.97,0
46.87,64.17,988.00,400.02,0
29.80,82.88,986.61,399.96,0
68.14,89.59,990.28,399.96,0
73.24,68.45,984.05,400.10,0
72.63,85.73,1013.38,399.95,0
76.31,75.39,1005.00,399.94,0
78.18,61.38,989.72,399.95,0
66.01,76.70,995.62,400.07,0
72.97,84.63,999.12,399.92,1
70.08,69.21,1003.23,399.91,0
24.80,82.56,1015.13,400.00,0
24.26,79.02,1002.43,400.04,0
55.44,63.00,1014.35,400.04,0
53.79,74.63,1003.22,400.06,0
35.68,61.55,1006.50,400.02,0
54.76,71.52,987.83,399.95,0
49.81,68.64,1004.32,400.10,0
59.04,70.54,1010.52,399.93,0
44.53,62.97,1002.54,400.10,0
24.59,74.22,1016.12,400.08,0
31.21,78.98,1002.14,399.98,0
56.99,65.40,999.56,399.96,0
49.10,86.16,1016.02,400.00,0
38.04,83.61,1002.26,400.04,0
79.03,81.71,1001.18,399.91,1
29.77,72.72,1016.34,399.91,0
27.26,75.31,1010.90,399.98,0
23.71,73.37,1016.38,399.98,0
20.64,65.09,1019.83,399.95,0
39.54,68.93,1016.35,400.00,0
20.98,74.32,1019.27,400.04,0
52.26,82.02,987.52,399.92,0
29.27,79.11,993.91,400.04,0
24.21,77.35,981.53,400.10,0
68.46,60.36,1006.10,400.05,0
30.18,65.07,997.40,400.02,0
54.89,86.24,993.04,399.97,0
50.44,70.17,990.09,400.05,0
55.11,76.62,1017.88,400.01,0
53.78,88.13,997.82,400.08,0
70.52,81.56,1007.20,399.92,0
30.37,88.92,992.71,400.01,0
76.39,77.28,986.40,400.01,1
36.61,68.72,1001.37,399.95,0
65.65,73.10,1009.65,399.91,0
45.63,65.63,993.59,400.10,0
47.23,66.00,1019.50,400.05,0
49.88,61.61,1016.48,400.07,0
52.95,81.08,1013.03,400.03,0
48.41,65.68,983.36,400.06,0
20.28,88.69,982.10,400.06,0
46.65,69.85,1014.32,400.02,0
64.59,66.64,988.68,399.95,0
30.20,77.32,1012.20,399.92,0
60.06,60.95,995.25,400.05,0
22.61,87.41,1016.42,399.90,0
70.25,77.88,982.12,399.93,1
49.13,81.68,1009.16,400.04,0
73.18,69.08,1006.62,399.98,0
74.68,76.25,1012.87,400.06,0
55.04,83.25,981.16,399.98,0
33.31,72.81,985.21,399.90,0
75.68,86.32,1000.90,399.92,1
39.27,71.51,994.26,399.91,0
51.62,71.27,999.21,400.02,0
49.56,79.22,999.30,399.90,0
48.23,74.41,1013.56,399.92,0
58.73,79.36,1014.12,399.97,0
75.02,84.13,1000.42,400.01,1
49.77,77.39,985.94,400.02,0
41.31,76.10,1004.39,399.91,0
46.51,84.41,997.15,399.94,0
31.61,79.00,989.70,400.09,0
56.12,69.83,999.67,399.99,0
68.42,67.95,1010.73,400.00,0
37.23,81.45,994.21,399.97,0
65.37,77.30,985.32,400.07,0
79.64,73.63,988.55,400.08,1
47.25,76.08,997.46,399.92,0
73.89,70.85,994.11,399.93,1
41.05,74.89,987.23,399.99,0
59.21,70.14,1016.03,400.08,0
31.13,71.63,990.97,399.92,0
79.96,65.11,985.80,399.93,0
44.20,61.70,987.05,400.00,0
37.40,64.63,1003.16,400.00,0
72.92,79.43,989.90,399.94,1
38.48,72.73,1001.02,399.98,0
27.31,75.33,987.98,399.96,0
79.11,81.36,982.88,399.99,1
72.93,86.54,988.32,399.96,1
68.70,81.82,980.71,399.91,0
77.27,63.57,1017.16,399.91,0
35.56,76.40,1009.09,400.08,0
57.81,72.97,996.67,399.94,0
65.18,61.75,1005.90,399.98,0
63.42,67.79,1008.05,399.94,0
52.27,81.42,982.61,400.03,0
78.20,71.84,1018.43,399.95,0
72.44,86.92,1009.38,399.98,0
42.04,81.77,1019.03,399.93,0
42.85,71.28,986.47,399.97,0
76.02,68.79,997.68,399.91,0
59.46,89.12,1017.91,400.09,0
42.50,62.78,1017.46,400.05,0
62.76,89.62,981.22,400.02,0
28.54,71.43,988.05,399.92,0
31.88,75.32,1002.47,399.98,0
45.54,80.57,997.63,399.91,0
39.32,79.14,1009.64,400.03,0
57.21,86.78,1012.59,400.09,0
65.90,60.34,1019.36,399.95,0
43.64,62.48,984.89,400.00,0
34.32,88.36,1008.54,400.00,0
52.32,68.60,997.98,399.91,0
22.32,70.27,1013.88,400.00,0
24.27,64.56,987.78,399.95,0
39.29,82.54,987.66,399.95,0
28.37,83.08,983.32,399.94,0
51.32,73.06,993.41,399.94,0
52.85,71.91,987.85,399.94,0
74.02,87.40,980.81,400.03,1
33.33,86.94,988.87,399.93,0
29.43,70.60,996.34,400.00,0
43.10,86.48,991.12,399.90,0
37.83,82.95,989.22,399.91,0
71.02,73.87,1004.58,399.96,1
71.67,83.70,996.17,400.00,1
57.40,83.54,1008.28,400.03,0
56.68,65.64,1000.57,399.96,0
44.83,63.14,994.98,399.90,0
63.63,61.37,999.15,400.08,0
35.56,67.03,997.90,400.04,0
58.65,79.77,991.44,399.99,0
66.53,78.70,1015.12,400.10,0
56.78,67.85,1003.95,400.09,0
25.17,63.75,986.96,400.02,0
39.38,67.41,1016.76,400.04,0
21.37,65.65,1000.10,400.02,0
29.04,76.80,1011.99,400.04,0
69.54,66.46,997.76,400.01,0
70.48,89.62,994.35,399.91,1
55.55,72.38,1010.97,400.08,0
73.71,84.61,1009.18,399.93,0
62.39,80.48,1013.68,399.95,0
26.08,69.28,983.31,399.93,0
53.73,61.88,989.81,399.98,0
33.00,78.69,1006.62,399.92,0
57.99,71.70,1006.71,400.10,0
74.72,78.61,1011.29,399.94,0
75.19,88.44,1004.38,400.00,1
37.99,68.09,985.75,400.02,0
42.03,81.30,1016.40,400.00,0
72.26,68.81,1000.58,399.94,0
39.35,76.42,986.81,399.95,0
57.37,70.87,992.93,399.97,0
57.65,64.94,1008.59,400.07,0
46.91,74.58,998.14,400.07,0
52.54,76.61,986.86,400.05,0
56.88,62.29,990.12,400.03,0
45.54,69.68,1002.02,400.09,0
73.13,66.92,987.85,399.93,0
23.58,66.50,1011.67,399.95,0
35.04,77.60,982.84,400.05,0
45.15,72.92,991.85,400.00,0
67.45,87.11,1006.41,400.06,0
72.58,88.68,987.59,400.04,1
40.66,86.83,1015.32,399.95,0
41.73,85.55,1001.85,399.94,0
29.82,73.78,1009.49,400.07,0
63.29,77.46,1008.30,399.94,0
31.13,85.24,1013.04,400.06,0
53.64,66.84,1012.22,400.06,0
33.94,74.64,1018.05,399.96,0
75.21,83.82,1019.82,400.06,0
67.04,89.21,1014.04,399.96,0
57.54,64.67,1015.66,399.92,0
42.30,78.94,997.11,399.95,0
68.54,87.57,988.96,399.92,0
27.64,87.54,984.01,399.97,0
42.46,71.07,1003.54,399.96,0
25.55,84.91,993.84,399.94,0
77.26,82.15,995.26,399.91,1
50.72,85.84,985.90,400.07,0
77.48,62.96,1016.87,400.03,0
43.22,65.52,1005.60,400.06,0
38.79,89.96,1009.96,399.94,0
39.40,60.38,1012.14,400.05,0
54.24,78.34,1003.59,399.91,0
34.18,64.37,1015.58,399.99,0
63.10,73.59,1014.92,399.92,0
46.43,68.75,1000.57,399.99,0
37.36,61.70,982.44,400.03,0
77.48,85.18,1007.19,400.03,0
76.90,69.03,1000.47,399.96,0
27.98,81.01,999.11,400.08,0
36.65,84.58,996.27,400.09,0
51.05,71.71,1005.48,399.98,0
49.42,62.07,1012.47,400.01,0
37.03,65.29,981.02,400.10,0
23.33,66.60,1019.99,400.09,0
